source,target
The French can re-enter the colonial government in Phnom Penh in October,ពួកបារាំងអាចដាក់រដ្ឋាភិបាលអាណានិគមឡើងវិញនៅភ្នំពេញ នៅ ខែ តុលា ឆ្នាំដដែល
Unequal agreement was decided in October 1953,កិច្ចព្រមព្រៀងមិនស្មើភាពគ្នាត្រូវបានសម្រេចឡើងនៅខែ តុលា ១៩៥៣
Sihanouk later declared a great independence and returned to Phnom Penh,ព្រះបាទសីហនុក្រោយមកទ្រង់បានប្រកាសឯករាជ្យជាស្ថាពរ ហើយបានយាងត្រឡប់មកភ្នំពេញវិញដោយជោគជ័យ
Neutrality is the central element of Cambodia's foreign policy during the 1950s and 1960s,អព្យាក្រិត្យជាធាតុស្នូលនៃនយោបាយការបរទេស របស់កម្ពុជាកំឡុងទសវត្សឆ្នាំ ១៩៥០ និង ១៩៦០
"The same message also reached a spokesperson of the US President Janson, in January 1968",សារដូចគ្នានេះក៏បានទៅដល់អ្នកនាំពាក្យរបស់ប្រធានាធិបតីស.រ.ចនសុន លោកឆិសស្តឺរ-ប៊ល នៅខែ មករា ១៩៦៨
"Therefore, the United States has no real motivations to overthrow Sihanouk",ដូច្នេះហើយ ស.រ.គ្មានការជំរុញចិត្តពិតដើម្បីផ្ដួលរំលំព្រះសីហនុឡើយ
Sihanouk wants the United States and the South Vietnamese (South Vietnam) to keep war far from the Cambodian border,ព្រះសីហនុចង់ឲ្យសហរដ្ឋអាមេរិក និងសម្ព័ន្ធមិត្ត (វៀតណាមខាងត្បូង) រក្សាសង្គ្រាមឱ្យនៅឆ្ងាយពីព្រំដែនកម្ពុជា
This has caused the United States greatly offended,រឿងនេះបានធ្វើឲ្យសហរដ្ឋអាមេរិកអាក់អន់ចិត្តជាខ្លាំង
"However, several open files show that at the end of March 1970, the state of the state is intended to save a friendly relationship with Preah Sihanouk",យ៉ាងណាមិញ ឯកសារបើកចំហមួយចំនួនបង្ហាញថា នៅចុងខែ មីនា ១៩៧០ ដដែល រដ្ឋការនិច្សុនមានបំណងរក្សាទុក ទំនាក់ទំនងជាមិត្ត ជាមួយព្រះសីហនុ
"Throughout the 1960s, politics in Cambodia has been divided into two",ពេញមួយទសវត្សឆ្នាំ ១៩៦០ នយោបាយក្នុងប្រទេសកម្ពុជាបានបែកខ្ញែកជាពីរ
Sihanouk called the insurgents that the Khmer Rouge,ព្រះសីហនុបានហៅពួកកុបករទាំងនោះថា ខ្មែរក្រហម
"During the 1968 and 1969, the riot situation became worse",កំឡុងឆ្នាំ ១៩៦៨ និង ១៩៦៩ ស្ថានភាពកុបកម្មបានកាន់តែអាក្រក់ឡើង
"In August 1969, Lon Nol established a new government",នៅខែ សីហា ១៩៦៩ លន់-ណុល បានបង្កើតរដ្ឋាភិបាលថ្មីមួយឡើង
Prince Sihanouk goes abroad because of the health of the health in January 1970,សម្ដេចសីហនុបានយាងចេញទៅក្រៅប្រទេស ដោយសារតែមូលហេតុព្រះរាជសុខភាពនៅខែ មករា ១៩៧០
Lon Nol gave control after military coups and instant coups have also been friends with the United States,លន់-ណុល បានក្ដោបក្ដាប់អំណាចបន្ទាប់ពីរដ្ឋប្រហារយោធា និងភ្លាមៗកម្ពុជាក៏បានចងសម្ព័ន្ធមិត្តជាមួយសហរដ្ឋអាមេរិក
Simply Son - Ngoc Thanh Anti-Pol Pot has announced his support for the new government,ភ្លាមៗនោះ សឺន-ង៉ុកថាញ់ អ្នកប្រឆាំងនឹងប៉ុល-ពតម្នាក់បានប្រកាសការគាំទ្ររបស់លោកចំពោះរដ្ឋាភិបាលថ្មីនេះ
"On October 9, the monarchy of Cambodia shall abolish that the country is re-named the Khmer Republic",នៅថ្ងៃទី ៩ តុលា របបរាជានិយមកម្ពុជាត្រូវលុបបំបាត់ចោល ហើយប្រទេសនេះត្រូវបានដាក់ឈ្មោះសាជាថ្មីថា សាធារណរដ្ឋខ្មែរវិញ
The new regime immediately demanded the Vietnamese Communist to leave Cambodia,របបថ្មីនេះបានទាមទារភ្លាមៗ ឱ្យពួកកុម្មុនិស្តយួនចាកចេញពីកម្ពុជា
"Hanoi has rejected the recent of the new republic, which to withdraw northern Vietnamese tremenders (Well)",ទីក្រុងហាណូយបានច្រានចោលសំនើរបស់សាធារណរដ្ឋថ្មីនេះ ដែល ឲ្យដកទ័ពវៀតណាមខាងជើងចេញ (កវជ)
"The 2000-4000 Khmer-2,000 people who went to North Vietnam in 1954 returned to Cambodia through the North Vietnamese soldiers",ខ្មែរ ២០០០-៤០០០ នាក់ ដែលបានទៅវៀតណាមខាងជើងនៅឆ្នាំ ១៩៥៤ បានត្រឡប់ចូលកម្ពុជាវិញ តាមពួកទាហានវៀតណាមខាងជើង
"The King moved those who took him to help in overthrowing the government, which had the civil war to happen",ព្រះមហាក្សត្របានជំរុញឱ្យពួកអ្នកដែលដង្ហែតាមទ្រង់ឱ្យជួយក្នុងការផ្ដួលរំលំរដ្ឋាភិបាលនេះ ដែលបណ្ដាឱ្យមានសង្គ្រាមរដ្ឋប្បវេណីកើតឡើង
The United States has been bombing Vietnam's location in Cambodia for more than a year by the point,សហរដ្ឋអាមេរិកបានកំពុងទម្លាក់គ្រាប់លើទីតាំងរបស់វៀតណាម នៅកម្ពុជាច្រើនជាងមួយឆ្នាំទៅតាមចំនុចទាំងនោះ
The North Vietnamese entered deeper into Cambodia to avoid US and South Vietnamese attacks,ពួកវៀតណាមខាងជើងបានចូលកាន់តែជ្រៅទៅក្នុងប្រទេសកម្ពុជា ដើម្បីជៀសឲ្យផុតពីការវាយលុករបស់សហរដ្ឋអាមេរិក និងវៀតណាមខាងត្បូង
Lon Nol was in a certain power because no one would like to replace his position,លន់-ណុល នៅស្ថិតក្នុងអំណាច ម្យ៉ាងពីព្រោះគ្មានអ្នកណាផ្សេងចង់ជំនួសតំណែងលោក
"In 1972, the constitution passed by a decision, and Lon Nol became president",នៅឆ្នាំ ១៩៧២ រដ្ឋធម្មនុញ្ញបានអនុម័ត សភាតំណាងរាស្ត្របានសម្រេចរួចរាល់ ហើយលន់-ណុលក៏បានក្លាយជាប្រធានាធិបតី
